,City,Country,Date,Temperature,Humidity,Wind Speed
153,Minsk,Belarus,2023-02-26 21:00:00,-4.95,91,5.31
154,Minsk,Belarus,2023-02-27 00:00:00,-5.4,91,4.98
155,Minsk,Belarus,2023-02-27 03:00:00,-7.61,93,4.21
156,Minsk,Belarus,2023-02-27 06:00:00,-9.52,95,3.82
157,Minsk,Belarus,2023-02-27 09:00:00,-6.68,87,3.97
158,Minsk,Belarus,2023-02-27 12:00:00,-4.27,83,4.01
159,Minsk,Belarus,2023-02-27 15:00:00,-5.12,90,2.46
160,Brussels,Belgium,2023-02-22 18:00:00,9.09,86,2.17
161,Brussels,Belgium,2023-02-22 21:00:00,9.14,85,1.57
162,Brussels,Belgium,2023-02-23 00:00:00,8.72,86,1.64
163,Brussels,Belgium,2023-02-23 03:00:00,7.94,89,2.02
164,Brussels,Belgium,2023-02-23 06:00:00,7.51,92,2.54
165,Brussels,Belgium,2023-02-23 09:00:00,7.71,87,2.62
166,Brussels,Belgium,2023-02-23 12:00:00,10.19,69,2.29
167,Brussels,Belgium,2023-02-23 15:00:00,10.85,63,3.38
168,Brussels,Belgium,2023-02-23 18:00:00,7.8,78,4.96
169,Brussels,Belgium,2023-02-23 21:00:00,6.39,74,3.99
170,Brussels,Belgium,2023-02-24 00:00:00,4.76,74,3.3
171,Brussels,Belgium,2023-02-24 03:00:00,3.4,78,2.06
172,Brussels,Belgium,2023-02-24 06:00:00,2.79,79,2.44
173,Brussels,Belgium,2023-02-24 09:00:00,4.32,70,3.65
174,Brussels,Belgium,2023-02-24 12:00:00,4.16,87,4.52
175,Brussels,Belgium,2023-02-24 15:00:00,6.03,86,3.72
176,Brussels,Belgium,2023-02-24 18:00:00,4.51,81,4.71
177,Brussels,Belgium,2023-02-24 21:00:00,3.31,76,4.46
178,Brussels,Belgium,2023-02-25 00:00:00,2.5,80,3.53
179,Brussels,Belgium,2023-02-25 03:00:00,3.48,76,4.14
180,Brussels,Belgium,2023-02-25 06:00:00,3.43,82,4.29
181,Brussels,Belgium,2023-02-25 09:00:00,5.09,74,4.14
182,Brussels,Belgium,2023-02-25 12:00:00,7.32,53,5.38
183,Brussels,Belgium,2023-02-25 15:00:00,7.32,51,6.24
184,Brussels,Belgium,2023-02-25 18:00:00,4.17,63,4.82
185,Brussels,Belgium,2023-02-25 21:00:00,2.44,72,3.91
186,Brussels,Belgium,2023-02-26 00:00:00,1.11,69,4.14
187,Brussels,Belgium,2023-02-26 03:00:00,0.05,67,4.4
188,Brussels,Belgium,2023-02-26 06:00:00,-0.59,66,5.05
189,Brussels,Belgium,2023-02-26 09:00:00,1.77,47,6.91
190,Brussels,Belgium,2023-02-26 12:00:00,3.84,36,6.8
191,Brussels,Belgium,2023-02-26 15:00:00,4.35,38,6.8
192,Brussels,Belgium,2023-02-26 18:00:00,1.48,51,4.63
193,Brussels,Belgium,2023-02-26 21:00:00,0.14,60,4.53
194,Brussels,Belgium,2023-02-27 00:00:00,-0.89,67,4.41
195,Brussels,Belgium,2023-02-27 03:00:00,-1.6,69,3.94
196,Brussels,Belgium,2023-02-27 06:00:00,-1.85,64,3.95
197,Brussels,Belgium,2023-02-27 09:00:00,1.12,51,5.63
198,Brussels,Belgium,2023-02-27 12:00:00,4.24,38,6.28
199,Brussels,Belgium,2023-02-27 15:00:00,4.84,36,6.41
200,Sarajevo,Bosnia and Herzegovina,2023-02-22 18:00:00,13.73,47,1.33
201,Sarajevo,Bosnia and Herzegovina,2023-02-22 21:00:00,11.37,61,1.57
202,Sarajevo,Bosnia and Herzegovina,2023-02-23 00:00:00,8.49,77,1.45
203,Sarajevo,Bosnia and Herzegovina,2023-02-23 03:00:00,5.33,93,1.38
204,Sarajevo,Bosnia and Herzegovina,2023-02-23 06:00:00,6.01,92,1.1
205,Sarajevo,Bosnia and Herzegovina,2023-02-23 09:00:00,10.57,76,0.81
206,Sarajevo,Bosnia and Herzegovina,2023-02-23 12:00:00,12.7,66,1.07
207,Sarajevo,Bosnia and Herzegovina,2023-02-23 15:00:00,11.89,76,0.74
208,Sarajevo,Bosnia and Herzegovina,2023-02-23 18:00:00,8.46,88,0.83
209,Sarajevo,Bosnia and Herzegovina,2023-02-23 21:00:00,7.35,91,1.29
210,Sarajevo,Bosnia and Herzegovina,2023-02-24 00:00:00,6.12,94,1.6
211,Sarajevo,Bosnia and Herzegovina,2023-02-24 03:00:00,5.37,95,1.62
212,Sarajevo,Bosnia and Herzegovina,2023-02-24 06:00:00,5.65,95,1.53
213,Sarajevo,Bosnia and Herzegovina,2023-02-24 09:00:00,9.95,80,1.79
214,Sarajevo,Bosnia and Herzegovina,2023-02-24 12:00:00,12.06,68,3.37
215,Sarajevo,Bosnia and Herzegovina,2023-02-24 15:00:00,10.47,76,2.77
216,Sarajevo,Bosnia and Herzegovina,2023-02-24 18:00:00,7.6,92,2.42
217,Sarajevo,Bosnia and Herzegovina,2023-02-24 21:00:00,7.33,93,2.5
218,Sarajevo,Bosnia and Herzegovina,2023-02-25 00:00:00,8.38,89,3.25
219,Sarajevo,Bosnia and Herzegovina,2023-02-25 03:00:00,8.73,84,4.57
220,Sarajevo,Bosnia and Herzegovina,2023-02-25 06:00:00,8.63,83,5.41
221,Sarajevo,Bosnia and Herzegovina,2023-02-25 09:00:00,9.96,85,4.76
222,Sarajevo,Bosnia and Herzegovina,2023-02-25 12:00:00,10.18,87,4.72
223,Sarajevo,Bosnia and Herzegovina,2023-02-25 15:00:00,9.21,90,2.39
224,Sarajevo,Bosnia and Herzegovina,2023-02-25 18:00:00,8.24,93,0.76
